,City Name,Longitude,Latitude,Temperature,Humidity,Cloud Percent,Wind Speed (mph),Max Temperature,DateTime,Country
0,Fort Nelson,-122.7002,58.8053,57.65,48,13,6.67,57.65,1632164450,CA
1,Lebu,-73.65,-37.6167,52.88,70,0,20.76,52.88,1632164468,CL
2,Hilo,-155.09,19.7297,76.39,72,98,4.47,76.39,1632164409,US
3,Bluff,168.3333,-46.6,47.61,89,100,16.51,47.61,1632164428,NZ
4,Petropavlovsk-Kamchatskiy,158.6483,53.0452,36.19,93,0,8.95,36.19,1632164429,RU
5,Vaini,-175.2,-21.2,72.66,69,88,16.98,72.66,1632164552,TO
6,Busselton,115.3333,-33.65,51.1,69,0,9.95,51.1,1632164429,AU
7,Rikitea,-134.9692,-23.1203,74.12,76,4,17.69,74.12,1632164430,PF
8,Sinnamary,-52.95,5.3833,85.37,66,16,11.1,85.37,1632164431,GF
9,Tezu,96.1667,27.9167,75.09,80,21,4.0,75.09,1632164431,IN
10,Saint George,-113.5841,37.1041,81.07,21,0,1.57,81.07,1632164416,US
11,Kondopoga,34.2614,62.2057,44.28,74,87,7.72,44.28,1632164432,RU
12,Aykhal,111.5,66.0,35.1,81,100,5.48,35.1,1632164554,RU
13,Snezhnogorsk,33.2531,69.1933,31.78,79,24,10.07,31.78,1632164433,RU
14,Acapulco de Juárez,-99.8901,16.8634,85.37,67,83,5.23,85.37,1632164357,MX
15,Arraial do Cabo,-42.0278,-22.9661,71.87,85,18,25.39,71.87,1632164555,BR
16,Havøysund,24.6622,70.9963,44.83,68,10,20.76,45.48,1632164556,NO
17,Hithadhoo,73.0833,-0.6,83.8,72,99,11.41,83.8,1632164557,MV
18,Pell City,-86.2861,33.5862,79.14,83,90,0.0,84.38,1632164558,US
19,Leningradskiy,178.4167,69.3833,20.93,85,100,10.54,20.93,1632164559,RU
20,Jamestown,-79.2353,42.097,77.43,62,100,9.6,77.43,1632164337,US
21,Deniliquin,144.9667,-35.5333,37.58,85,9,14.25,37.58,1632164560,AU
22,Ahtopol,27.95,42.1,70.27,87,73,3.31,70.27,1632164560,BG
23,Bar Harbor,-68.2039,44.3876,66.34,45,1,9.22,70.29,1632164561,US
24,Taoudenni,-3.9836,22.6783,103.75,8,0,10.09,103.75,1632164563,ML
25,Saint-Philippe,55.7679,-21.3585,67.59,83,86,14.14,67.59,1632164563,RE
26,Raudeberg,5.1352,61.9875,52.48,76,100,25.03,56.98,1632164564,NO
27,Pouembout,164.9,-21.1333,67.08,68,82,4.38,67.08,1632164565,NC
28,Ţahţā,31.5021,26.7693,94.24,17,0,16.73,94.24,1632164565,EG
29,Zitlala,-99.0833,17.6333,72.86,56,25,3.6,72.86,1632164566,MX
30,Aksarka,67.7975,66.5606,37.04,83,100,9.37,37.04,1632164567,RU
31,Fortuna,-124.1573,40.5982,63.52,72,1,9.22,66.54,1632164568,US
32,Yellowknife,-114.3525,62.456,42.46,68,100,2.19,42.46,1632164480,CA
33,Chui,-53.4616,-33.6971,67.23,87,87,9.53,67.23,1632164568,UY
34,Tasiilaq,-37.6368,65.6145,39.36,70,100,7.47,39.36,1632164569,GL
35,Ribeira Grande,-28.7,38.5167,73.8,68,40,17.27,73.8,1632164570,PT
36,Kuusamo,29.1833,65.9667,39.24,75,90,10.36,39.24,1632164571,FI
37,Lorengau,147.2712,-2.0226,78.84,84,100,6.11,78.84,1632164572,PG
38,Ushuaia,-68.3,-54.8,42.46,65,90,10.36,47.82,1632164275,AR
39,Puerto Escondido,-97.0667,15.85,88.63,62,75,8.05,88.63,1632164573,MX
40,Westport,-73.3579,41.1415,75.49,51,13,7.81,75.49,1632164277,US
41,Nikolskoye,30.7861,59.7035,44.49,68,98,8.93,44.49,1632164573,RU
42,Henties Bay,14.2845,-22.116,55.74,86,0,7.81,55.74,1632164574,NA
43,Dakar,-17.4441,14.6937,86.88,83,8,18.61,86.88,1632164499,SN
44,Batagay-Alyta,130.4114,67.8006,29.32,85,82,2.62,29.32,1632164574,RU
45,Torbay,-52.7314,47.6666,48.06,73,36,28.34,48.06,1632164450,CA
46,Mataura,168.8643,-46.1927,41.27,93,100,2.17,41.27,1632164575,NZ
47,Puerto Ayora,-90.3518,-0.7393,69.82,79,96,12.37,69.82,1632164575,EC
48,Mandalgovi,106.2708,45.7625,51.73,62,0,1.21,51.73,1632164577,MN
49,Punta Arenas,-70.9167,-53.15,46.06,82,100,15.12,46.06,1632164506,CL
50,Buraidah,43.975,26.326,84.9,15,0,9.37,84.9,1632164578,SA
51,Iqaluit,-68.5145,63.7506,32.04,64,100,7.16,32.04,1632164500,CA
52,Den Helder,4.7593,52.9599,58.68,63,20,8.05,60.78,1632164494,NL
53,Matamoros,-103.25,25.5333,92.32,22,5,2.04,92.32,1632164434,MX
54,Biak,122.8766,-0.9131,74.55,90,100,2.44,74.55,1632164579,ID
55,Rafaela,-61.4867,-31.2503,76.33,38,0,19.15,76.33,1632164580,AR
56,Tres Arroyos,-60.2798,-38.3739,56.3,44,0,16.11,56.3,1632164581,AR
57,Wajir,40.0573,1.7471,84.88,36,21,24.2,84.88,1632164581,KE
58,Balabac,117.0645,7.9868,79.65,77,84,1.83,79.65,1632164582,PH
59,Damietta,31.8133,31.4165,79.21,83,0,9.22,79.21,1632164583,EG
60,Atuona,-139.0333,-9.8,77.65,74,79,20.38,77.65,1632164584,PF
61,Portland,-122.6762,45.5234,59.14,82,40,5.75,64.38,1632164084,US
62,Pisco,-76.2167,-13.7,66.51,65,14,8.61,66.51,1632164585,PE
63,Cape Town,18.4232,-33.9258,56.28,59,0,11.99,56.28,1632164543,ZA
64,Plátanos,21.6167,37.6667,74.05,86,0,0.69,75.76,1632164586,GR
65,Cianorte,-52.605,-23.6633,99.93,15,1,7.18,99.93,1632164586,BR
66,Mehamn,27.8492,71.0357,40.95,65,0,8.05,44.78,1632164587,NO
67,Port Elizabeth,25.5701,-33.918,57.49,62,20,20.71,57.49,1632164588,ZA
68,Mount Gambier,140.7667,-37.8333,44.58,72,77,11.5,44.58,1632164589,AU
69,Tuktoyaktuk,-133.0374,69.4541,40.93,71,99,12.41,40.93,1632164590,CA
70,Bredasdorp,20.0403,-34.5322,48.15,71,4,5.46,48.15,1632164590,ZA
71,Port Alfred,26.891,-33.5906,58.23,60,14,34.78,58.23,1632164591,ZA
